dataset,model,condition,bias,split,seed,rmse,mae,r2,pearson_r,train_model_type,train_n_train,train_best_epoch,train_best_val_loss,train_training_time_seconds,train_total_epochs
solubility,lgbm_descriptors,substructure_aromatic_only,substructure,random,123,1.372875665988279,0.9938224361008419,0.6414155028094934,0.8021791867973487,fingerprint,3469,,,,
solubility,lgbm_descriptors,substructure_aromatic_only,substructure,random,7,1.3723020950299034,0.9990430433816173,0.6417150648089021,0.8016497185408902,fingerprint,3469,,,,
solubility,gnn,substructure_aromatic_only,substructure,random,42,1.345926791461058,0.9961767960865164,0.6553550087471544,0.8112948794019142,gnn,3469,58.0,0.6745440167266054,104.17756342887878,74.0
solubility,gnn,substructure_aromatic_only,substructure,random,123,1.2707871842538283,0.914050539772568,0.6927621284547785,0.8328442432917319,gnn,3469,85.0,0.9680895220149647,169.43260645866394,100.0
solubility,gnn,substructure_aromatic_only,substructure,random,7,1.2937777638018215,0.9492427149686294,0.6815447152897685,0.8307531262068344,gnn,3469,82.0,0.7678089822848122,160.540709733963,98.0
solubility,lgbm_morgan,cluster_top3,cluster,random,42,2.58728333048818,2.055353863228643,-0.2735531544836376,0.37624095036713134,fingerprint,714,,,,
solubility,lgbm_morgan,cluster_top3,cluster,random,123,2.585429008679018,2.0563676058875653,-0.27172828197495,0.34372737653925844,fingerprint,714,,,,
solubility,lgbm_morgan,cluster_top3,cluster,random,7,2.6483957337356774,2.1028226108907626,-0.3344271033469379,0.3484853163519456,fingerprint,714,,,,
solubility,lgbm_descriptors,cluster_top3,cluster,random,42,1.7198905102081476,1.2460427693240028,0.4372303144399313,0.6696807075329447,fingerprint,714,,,,
solubility,lgbm_descriptors,cluster_top3,cluster,random,123,1.7260325498734095,1.2549002498525392,0.43320363285826147,0.6678158322537449,fingerprint,714,,,,
solubility,lgbm_descriptors,cluster_top3,cluster,random,7,1.6025714273952405,1.1493010581713023,0.5113882734287982,0.7271302712027743,fingerprint,714,,,,
solubility,gnn,cluster_top3,cluster,random,42,1.648386129203271,1.2464185891327841,0.48305183529981677,0.6994476583132403,gnn,714,51.0,0.6876369216774083,22.659826278686523,67.0
solubility,gnn,cluster_top3,cluster,random,123,1.599086773511487,1.223207076612131,0.5135108516757085,0.7191273419139198,gnn,714,52.0,0.6880956016763856,23.492549180984497,68.0
solubility,gnn,cluster_top3,cluster,random,7,1.5867517994060676,1.2295606718322356,0.5209872271372507,0.724010626336894,gnn,714,46.0,1.633887788917445,15.355802536010742,62.0
